name;description;code;user_id;supplier_id;category_id
Foco H7;;345;1.0;1.0;3
Folio A4;;346;1.0;1.0;3
Forma Juntas;;347;1.0;1.0;3
Formador De Junta Gris;;348;1.0;1.0;3
Francesa;;349;1.0;1.0;3
Franelas;;350;1.0;1.0;3
Fuguero;;351;1.0;1.0;3
Gafas Claras;;352;1.0;1.0;3
Gafas Claras ;;353;1.0;1.0;3
Gafas Claras Ucu;;354;1.0;1.0;3
Gafas Oscuras;;355;1.0;1.0;3
Gafas Oscuras ;;356;1.0;1.0;3
Gafas Oscuras Ucu;;357;1.0;1.0;3
Gafas Oscuras X 10;;358;1.0;1.0;3
Galletas  Dulces Surtidas;;359;1.0;1.0;3
Galletas Diversiones ;;360;1.0;1.0;3
Galletas Ojaldradas ;;361;1.0;1.0;3
Galletas Pepas;;362;1.0;1.0;3
Galletas Pepas ;;363;1.0;1.0;3
Galletas Surtidas;;364;1.0;1.0;3
Galletas Varias ;;365;1.0;1.0;3
Gancho Para Cadenas;;366;1.0;1.0;3
Gaseosa X 1,5 L;;367;1.0;1.0;3
Gaseosa X 3 L;;368;1.0;1.0;3
Gaseosas X 3 L;;369;1.0;1.0;3
Gaseosas X 3 Litros;;370;1.0;1.0;3
Gaseosas X 6 De 3 Litros;;371;1.0;1.0;3
Gato Con Llaves;;372;1.0;1.0;3
Goma Para Sello;;373;1.0;1.0;3
Gomas De Presion De Tubos;;374;1.0;1.0;3
Gomas De PresiÇün De Tubos;;375;1.0;1.0;3
Grampas 60-80;;376;1.0;1.0;3
Grasa X 18 Kg;;377;1.0;1.0;3
Grasera Nueva ;;378;1.0;1.0;3
Grasera Usada;;379;1.0;1.0;3
Grifos De 3/4;;380;1.0;1.0;3
Grilletes;;381;1.0;1.0;3
Guantes De  Vagueta  Frizado;;382;1.0;1.0;3
Guantes De Nitrilo;;383;1.0;1.0;3
Guantes De Nitrilo  X 12;;384;1.0;1.0;3
Guantes De Nitrilo Por Pares;;385;1.0;1.0;3
Guantes De Nitrilo X 10;;386;1.0;1.0;3
Guantes De Vagueta Simple;;387;1.0;1.0;3
Guantes De Vaqueta Con Abrigo;;388;1.0;1.0;3
Guantes De Vaqueta Forrados X 10;;389;1.0;1.0;3
Guantes De Vaqueta X 12;;390;1.0;1.0;3
Guantes De Vaquetas Abrigados Por Pares ;;391;1.0;1.0;3
Guantes De Vaquetas Comunes Por Pares ;;392;1.0;1.0;3
Guantes Para Soldar;;393;1.0;1.0;3
Guantes Pera Soldar ;;394;1.0;1.0;3
Guantes Textiles Con Poliuretano Por Pares ;;395;1.0;1.0;3
Guantes Vaqueta Con Abrigo X 12 ;;396;1.0;1.0;3
Hacha Nueva;;397;1.0;1.0;3
HidrÇ­ulico X 20 Litros;;398;1.0;1.0;3
Hoja De Acero RÇ­pido;;399;1.0;1.0;3
Impresora Canon 3110                 Nueva;;400;1.0;1.0;3
Jabalina;;401;1.0;1.0;3
Jabalina Con Prensacable;;402;1.0;1.0;3
Jabalinas ;;403;1.0;1.0;3
Jabalinas Con Borne ;;404;1.0;1.0;3
Juego De Mechas Bosch;;405;1.0;1.0;3
Juego De Muelas Nq;;406;1.0;1.0;3
Juego De Saca Bujia ;;407;1.0;1.0;3
Juegos De Aletas Nq;;408;1.0;1.0;3
Juegos De Lainas Nq;;409;1.0;1.0;3
Kid Antiderrame;;410;1.0;1.0;3
Kid Antiderrame (Bolso);;411;1.0;1.0;3
Kid De Llave Para Gato De Camioneta (P/Devolver);;412;1.0;1.0;3
La Compuradura Con El Bolso Azul;;413;1.0;1.0;3
Lainas Hq3;;414;1.0;1.0;3
Lamparas 220V;;415;1.0;1.0;3
